refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue
2021-01-01,SWE,Sweden,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1305385717.018,True,1305385717.018,True,0.0,False,549919452.268
2021-01-01,CHE,Switzerland,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,216614000.0,False,216614000.0,False,0.0,False,80966890.654
2021-01-01,TUN,Tunisia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,124539000.0,False,124539000.0,False,0.0,False,47833899.679
2021-01-01,USA,USA,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,27141556308.0,False,27141556308.0,False,0.0,False,7659985263.0
2021-01-01,UKR,Ukraine,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,106976600.0,False,106976600.0,False,0.0,False,34602011.09
2021-01-01,GBR,United Kingdom,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,3320676000.0,False,3320676000.0,False,0.0,False,1328974708.357
2021-01-01,URY,Uruguay,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,141945000.0,False,141945000.0,False,0.0,False,57964745.0
2021-01-01,UZB,Uzbekistan,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,7497130.0,False,7497130.0,False,0.0,False,1785625.0
2021-01-01,VNM,Vietnam,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,349119000.0,False,349119000.0,False,0.0,False,136899899.1
2021-01-01,ZMB,Zambia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,28420300.0,False,28420300.0,False,0.0,False,15456875.44
2021-02-01,AUS,Australia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1267516700.0,False,1267516700.0,False,0.0,False,534098543.808
2021-02-01,BLR,Belarus,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1235614000.0,False,1235614000.0,False,0.0,False,489571100.0
2021-02-01,BEL,Belgium,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,2696549868.45,False,2696549868.45,False,0.0,False,1227142235.224
2021-02-01,BIH,Bosnia Herzegovina,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,45964.0,False,45964.0,False,0.0,False,33451.82
2021-02-01,BWA,Botswana,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,92281.0,False,89545.0,False,0.0,False,60931.699
2021-02-01,BRA,Brazil,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,595413296.0,False,595413296.0,False,0.0,False,225157648.0
2021-02-01,BGR,Bulgaria,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,398995100.0,False,398995100.0,False,0.0,False,180875636.495
2021-02-01,CAN,Canada,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1418304045.277,True,1418304045.277,True,0.0,False,719831789.581
2021-02-01,CHL,Chile,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,883051200.0,False,883051200.0,False,0.0,False,399661761.29
2021-02-01,CHN,China,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,44973618400.0,False,44973618400.0,False,0.0,False,18567880781.0
2021-02-01,COL,Colombia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,354050.6,False,354050.6,False,0.0,False,61755.08
2021-02-01,HRV,Croatia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,182346401.2,False,182346401.2,False,0.0,False,83591741.0
2021-02-01,CZE,Czechia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,453739486.0,False,453739486.0,False,0.0,False,194175180.0
2021-02-01,DNK,Denmark,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,647985863.0,False,647985863.0,False,0.0,False,308810300.923
2021-02-01,DOM,Dominican Rep.,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,65461100.0,False,65461100.0,False,0.0,False,33549418.0
2021-02-01,EGY,Egypt,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,422150016.26,True,422150016.26,True,0.0,False,214253779.144
2021-02-01,SLV,El Salvador,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,17992.0,False,17992.0,False,0.0,False,18003.76
2021-02-01,FIN,Finland,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,869018800.0,False,869018800.0,False,0.0,False,389298188.604
2021-02-01,FRA,France,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,2637851259.0,False,2637851259.0,False,0.0,False,1207036891.785
2021-02-01,DEU,Germany,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,5676094017.0,False,5676094017.0,False,0.0,False,2418957577.562
2021-02-01,GRC,Greece,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1505882400.0,False,1505882400.0,False,0.0,False,656545133.071
2021-02-01,GTM,Guatemala,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,6120.0,False,6120.0,False,0.0,False,138442.0
2021-02-01,ISL,Iceland,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,4.0,False,4.0,False,0.0,False,180.644
2021-02-01,IND,India,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,15739573000.0,False,15739573000.0,False,0.0,False,6524696233.072
2021-02-01,IDN,Indonesia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,519439300.0,False,519439300.0,False,0.0,False,222087967.0
2021-02-01,ISR,Israel,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1111733454.062,True,1111733454.062,True,0.0,False,405667000.0
2021-02-01,ITA,Italy,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,3498050779.0,False,3498050779.0,False,0.0,False,1532023028.702
2021-02-01,JPN,Japan,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,9643784600.0,False,9643784600.0,False,0.0,False,3971835502.761
2021-02-01,KEN,Kenya,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,240.0,False,240.0,False,0.0,False,603.379
2021-02-01,LSO,Lesotho,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,11775.0,False,11775.0,False,11839.0,False,28324.308
2021-02-01,LTU,Lithuania,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,394456000.0,False,394456000.0,False,0.0,False,179633410.0
2021-02-01,MWI,Malawi,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,0.5,False,0.5,False,0.0,False,17.475
2021-02-01,MYS,Malaysia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,489566700.0,False,489566700.0,False,0.0,False,209122720.203
2021-02-01,MAR,Morocco,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,385.0,False,385.0,False,0.0,False,818.563
2021-02-01,NAM,Namibia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1122302.0,False,1122302.0,False,0.0,False,684837.71
2021-02-01,NLD,Netherlands,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,5796388476.0,False,5796388476.0,False,0.0,False,2657097335.148
2021-02-01,NZL,New Zealand,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,91272536.908,True,91272536.908,True,91472304.0,False,42011097.059
2021-02-01,NIC,Nicaragua,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,53641100.0,False,53641100.0,False,0.0,False,27287662.77
2021-02-01,NOR,Norway,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,362894700.0,False,362894700.0,False,0.0,False,164749397.621
2021-02-01,PAK,Pakistan,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,533169000.0,False,533169000.0,False,0.0,False,211359113.377
2021-02-01,PRY,Paraguay,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,15.0,False,15.0,False,0.0,False,378.0
2021-02-01,POL,Poland,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,2226049480.0,False,2226049480.0,False,0.0,False,868705177.0
2021-02-01,PRT,Portugal,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1079171300.0,False,1079171300.0,False,0.0,False,463732243.514
2021-02-01,KOR,Rep. of Korea,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,10079820209.0,False,10079820209.0,False,0.0,False,4278206942.0
2021-02-01,ROU,Romania,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,586344280.0,False,586344280.0,False,0.0,False,266700035.55
2021-02-01,RUS,Russian Federation,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,31100.0,False,31100.0,False,0.0,False,8452.7
2021-02-01,RWA,Rwanda,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,500.0,False,500.0,False,0.0,False,1757.48
2021-02-01,SRB,Serbia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,170334348.0,False,170334348.0,False,0.0,False,70977466.0
2021-02-01,SGP,Singapore,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,3016411720.0,False,3016411720.0,False,0.0,False,1264594855.59
2021-02-01,SVK,Slovakia,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,464157739.0,False,464157739.0,False,0.0,False,182613168.214
2021-02-01,ZAF,South Africa,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1135800162.0,False,1135800162.0,False,0.0,False,461045594.336
2021-02-01,ESP,Spain,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,4233954447.2,False,4233954447.2,False,0.0,False,1805085183.213
2021-02-01,SWE,Sweden,Import,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,kg,1422473612.164,True,1422473612.164,True,0.0,False,693204163.136
