refDate,reporterISO,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue,value_per_unit
2024-10-01,MYS,Malaysia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,2025.73,False,2025.73,False,0.0,False,171403625.853,84613.26329421985
2024-10-01,MLT,Malta,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,205.854,False,215.0,False,0.0,False,17501124.918,85017.17196653939
2024-10-01,MLT,Malta,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,1.0,False,1.0,False,0.0,False,83963.478,83963.478
2024-10-01,MLT,Malta,Import,World,710813,"Metals; gold, semi-manufactured",kg,204.854,False,214.0,False,0.0,False,17417161.44,85022.3156003788
2024-10-01,MUS,Mauritius,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,41.0,False,41.0,False,0.0,False,3116398.38,76009.71658536585
2024-10-01,MUS,Mauritius,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,13.0,False,13.0,False,0.0,False,867945.374,66765.02876923076
2024-10-01,MUS,Mauritius,Import,World,710813,"Metals; gold, semi-manufactured",kg,28.0,False,28.0,False,0.0,False,2248453.006,80301.89307142857
2024-10-01,MEX,Mexico,Import,World,710813,"Metals; gold, semi-manufactured",kg,1253.0,False,0.0,False,0.0,False,6805804.0,5431.607342378292
2024-10-01,MNE,Montenegro,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,9.337,False,9.55,False,0.0,False,804675.442,86181.36896219343
2024-10-01,MNE,Montenegro,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,9.28,False,9.28,False,0.0,False,798126.29,86004.98814655174
2024-10-01,MNE,Montenegro,Import,World,710813,"Metals; gold, semi-manufactured",kg,0.057,False,0.27,False,0.0,False,6549.151,114897.38596491228
2024-10-01,NLD,Netherlands,Import,World,284330,Gold compounds,kg,35.989,True,37.358,True,0.0,False,1620566.005,45029.48136930729
2024-10-01,NLD,Netherlands,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.023,True,1.019,True,0.0,False,1559.322,67796.60869565218
2024-10-01,NZL,New Zealand,Import,World,284330,Gold compounds,kg,0.048,True,0.048,True,0.0,False,1998.903,41643.8125
2024-10-01,NZL,New Zealand,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,21.906,False,21.906,False,0.0,False,1855138.372,84686.31297361453
2024-10-01,NZL,New Zealand,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,3.08,False,3.08,False,0.0,False,192145.208,62384.807792207794
2024-10-01,NZL,New Zealand,Import,World,710813,"Metals; gold, semi-manufactured",kg,18.826,False,18.826,False,0.0,False,1662993.165,88334.91793264633
2024-10-01,MKD,North Macedonia,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,9.843,False,9.6,False,0.0,False,828480.622,84169.52372244235
2024-10-01,MKD,North Macedonia,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,9.743,False,9.5,False,0.0,False,827306.01,84912.86154161963
2024-10-01,MKD,North Macedonia,Import,World,710813,"Metals; gold, semi-manufactured",kg,0.1,False,0.1,False,0.0,False,1174.613,11746.13
2024-10-01,NOR,Norway,Import,World,284330,Gold compounds,kg,86.0,False,86.0,False,0.0,False,41569.469,483.36591860465114
2024-10-01,NOR,Norway,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,28.0,False,28.0,False,0.0,False,243898.869,8710.673892857143
2024-10-01,NOR,Norway,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,3.0,False,3.0,False,0.0,False,191957.893,63985.96433333334
2024-10-01,NOR,Norway,Import,World,710813,"Metals; gold, semi-manufactured",kg,25.0,False,25.0,False,0.0,False,51940.976,2077.63904
2024-10-01,PAK,Pakistan,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,31.779,False,31.779,False,0.0,False,2202734.899,69314.16655653105
2024-10-01,PAK,Pakistan,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,31.779,False,31.779,False,0.0,False,2202734.899,69314.16655653105
2024-10-01,PAN,Panama,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,23.0,False,23.0,False,23.0,False,1190887.0,51777.69565217391
2024-10-01,PAN,Panama,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,22.0,False,22.0,False,22.0,False,1188918.0,54041.72727272727
2024-10-01,PAN,Panama,Import,World,710813,"Metals; gold, semi-manufactured",kg,1.0,False,1.0,False,1.0,False,1969.0,1969.0
2024-10-01,PRY,Paraguay,Import,World,284330,Gold compounds,kg,1.5,False,1.5,False,0.0,False,98965.9,65977.26666666666
2024-10-01,PHL,Philippines,Import,World,284330,Gold compounds,kg,8.5,False,8.5,False,8.5,False,269038.0,31651.529411764706
2024-10-01,PHL,Philippines,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,1162.44,False,1162.44,False,1162.44,False,6606079.0,5682.941915281649
2024-10-01,PHL,Philippines,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,29.26,False,29.26,False,29.26,False,154850.0,5292.2077922077915
2024-10-01,PHL,Philippines,Import,World,710813,"Metals; gold, semi-manufactured",kg,1133.18,False,1133.18,False,1133.18,False,6451229.0,5693.031115974514
2024-10-01,POL,Poland,Import,World,284330,Gold compounds,kg,109.51,False,111.02,False,0.0,False,968114.0,8840.416400328737
2024-10-01,POL,Poland,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,827.002,True,838.942,True,0.0,False,70577103.0,85340.90969550256
2024-10-01,POL,Poland,Import,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",kg,64.04,True,65.142,True,0.0,False,5456624.0,85206.49594003746
2024-10-01,POL,Poland,Import,World,710813,"Metals; gold, semi-manufactured",kg,762.962,False,773.8,False,0.0,False,65120479.0,85352.19185228099
2024-10-01,PRT,Portugal,Import,World,284330,Gold compounds,kg,40.9,False,42.2,False,0.0,False,1853326.942,45313.61716381418
2024-10-01,PRT,Portugal,Import,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",kg,87.329,False,86.402,False,0.0,False,7055845.799,80796.13643806754
2024-10-01,PRT,Portugal,Import,World,710811,"Metals; gold, non-monetary, powder",kg,0.007,False,0.007,False,0.0,False,71.969,10281.285714285714
